"Credit / Debit Card (Paythor SanalPos Pro)","Credit / Debit Card (Paythor SanalPos Pro)"
"Paythor SanalPos Pro","Paythor SanalPos Pro"
"Enabled","Enabled"
"Title","Title"
"Magento App ID","Magento App ID"
"Account Connection","Account Connection"
"Sandbox Mode","Sandbox Mode"
"Payment Action","Payment Action"
"New Order Status","New Order Status"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Sort Order","Sort Order"
"Debug Logging","Debug Logging"
"Connect","Connect"
"Connect Account","Connect Account"
"Email","Email"
"Password","Password"
"OTP Code","OTP Code"
"Verify OTP","Verify OTP"
"Processing…","Processing…"
